Setup,REST remote (10000 item runs),DOIP remote (1000 item runs),,REST local (10000 item runs),DOIP local (10000 item runs)
,39570,17723,,4042,33473
,43465,19242,,5001,35184
,29903,16628,,11581,35574
,38063,17421,,11699,48541
,28695,18040,,11324,82239
,42104,17095,,12794,71211
,47250,18685,,13323,71792
,49057,18920,,12367,65469
,41002,18257,,14611,63422
,47348,16437,,15076,71429
,48682,17889,,15689,76265
,,,,,
Total,41376.2727272727,17848.8181818182,,11591.5454545455,59509
Per object,4.13762727272727,17.8488181818182,,1.15915454545455,5.9509
,,,,,
,,,,,
,,,,,
Setup,REST remote (10000 item runs),DOIP remote (1000 item runs),,REST local (10000 item runs),DOIP local (10000 item runs)
,44052,40321,,3868,47924
,44940,30352,,5911,49916
,46070,31885,,10621,59598
,44318,29620,,12790,88784
,49058,27866,,9928,73980
,46136,30596,,12061,72410
,46136,30673,,12989,79811
,42476,29185,,11113,71167
,46915,29275,,13012,94160
,45090,30047,,13321,100947
,,,,,
Total,45519.1,30982,,10561.4,73869.7
Per object,4.55191,30.982,,1.05614,7.38697
,,,,,
,,,,,
Setup,REST remote (10000 item runs),DOIP remote (1000 item runs),,REST local (10000 item runs),DOIP local (10000 item runs)
,26627,16563,,1873,30308
,29552,15119,,4547,29600
,32418,15682,,7302,40905
,35954,15966,,7708,43205
,37064,15979,,6712,50215
,51858,15158,,6363,55739
,57424,15608,,6968,51582
,62968,16626,,7633,48235
,68001,19074,,6056,41293
,71316,19400,,7080,74044
,,,,,
Total,47318.2,16517.5,,6224.2,46512.6
Per object,4.73182,16.5175,,0.62242,4.65126
